,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,playoffScore,last5PlayoffScore,winRateAgainst500Teams
161,0.509186,6,14,2.33333,11,1.83333,4,,0.933333,0.933334,0.33333,4,0.1,0.15,2,20162017,30.16666,34.33333,Montréal Canadiens,8,,2,1,0,0.125,1.0625,0.23170731707317074
264,0.486486,6,28,4.66666,15,2.5,4,,0.84,0.8,0.33333,4,0.095238,0.095238,2,20172018,30.66666,24.66666,Philadelphia Flyers,4,,2,2,0,0.125,0.3125,0.25609756097560976
119,0.507889,17,48,2.82352,50,2.94117,6,,0.75,0.75,0.64705,22,0.25,0.285714,11,20172018,31.52941,29.17647,Tampa Bay Lightning,14,,11,10,0,0.6875,1.5625,0.36585365853658536
76,0.550776,13,42,3.23076,41,3.15384,6,,0.846153,0.820513,0.53846,14,0.216216,0.216216,7,20172018,31.46153,35.84615,Nashville Predators,18,,7,6,0,0.4375,1.4375,0.43902439024390244
341,0.495238,17,42,2.47058,53,3.11764,8,,0.761904,0.761905,0.52941,18,0.224489,0.244897,9,20172018,30.58823,33.35294,Winnipeg Jets,52,,9,9,0,0.5625,0.0,0.35365853658536583
159,0.502155,7,28,4.0,20,2.85714,4,,0.714285,0.666667,0.42857,6,0.266666,0.266666,3,20172018,35.0,28.14285,Toronto Maple Leafs,10,,3,3,0,0.1875,0.3125,0.2682926829268293
37,0.524163,4,7,1.75,3,0.75,4,,0.916666,0.916667,0.0,0,0.076923,0.076923,0,20172018,32.75,32.5,Los Angeles Kings,26,,0,0,0,0.0,1.625,0.2926829268292683
83,0.483675,20,47,2.35,57,2.85,7,,0.79452,0.794521,0.65,26,0.184615,0.184615,13,20172018,32.05,31.45,Vegas Golden Knights,54,,13,11,0,0.8125,0.0,0.35365853658536583
172,0.491298,24,61,2.54166,86,3.58333,8,,0.773333,0.76,0.66666,32,0.28,0.293333,16,20172018,28.79166,31.75,Washington Capitals,15,,16,13,0,1.0,1.4375,0.32926829268292684
229,0.494039,12,37,3.08333,41,3.41666,7,,0.764705,0.735295,0.41666,10,0.333333,0.363636,5,20172018,29.25,31.5,Boston Bruins,6,,5,5,0,0.3125,1.4375,0.2804878048780488
47,0.495762,4,16,4.0,4,1.0,4,,0.7,0.7,0.0,0,0.166666,0.166666,0,20172018,32.25,33.0,Anaheim Ducks,24,,0,0,0,0.0,2.125,0.2804878048780488
98,0.502439,6,24,4.0,18,3.0,4,,0.703703,0.666667,0.33333,4,0.125,0.166666,2,20172018,37.16666,32.66666,Columbus Blue Jackets,29,,2,0,0,0.125,0.1875,0.2682926829268293
366,0.487632,5,16,3.2,9,1.8,4,,0.76923,0.769231,0.2,2,0.230769,0.230769,1,20172018,33.8,25.2,Minnesota Wild,30,,1,1,0,0.0625,0.875,0.3048780487804878
48,0.525602,10,26,2.6,30,3.0,4,,0.8,0.8,0.6,12,0.234042,0.234042,6,20172018,33.4,34.3,San Jose Sharks,28,,6,5,0,0.375,1.625,0.24390243902439024
322,0.526695,12,34,2.83333,42,3.5,6,,0.833333,0.833334,0.5,12,0.204545,0.227272,6,20172018,26.58333,29.08333,Pittsburgh Penguins,5,,6,6,0,0.375,3.0,0.3048780487804878
271,0.47619,5,18,3.6,12,2.4,4,,0.789473,0.736843,0.2,2,0.157894,0.157894,1,20172018,33.6,34.2,New Jersey Devils,1,,1,1,0,0.0625,0.0,0.2682926829268293
